"grassheight","shrubcover","distance_w"
"Short",0.101599374879152,3.34247248317115
"Mid",0.591051551839337,1.06644896604121
"Mid",0.471635279757902,6.96731683728285
"Short",0.0694559442345053,1.76705786702223
"Mid",0.554801301285624,3.90063767135143
"Mid",0.44259435092099,4.06417898577638
"Short",0.266684762248769,3.20040241931565
"Mid",0.327231604792178,3.31358760781586
"Mid",0.195835047774017,3.73943340498954
"Mid",0.084417053963989,1.13513160566799
"Short",0.293274283362553,5.81670053605922
"Short",0.487925947783515,5.54347807751037
"Short",0.510928341373801,2.69720277097076
"Short",0.184812546567991,2.47506233165041
"Mid",0.239072599913925,3.2844574644696
"Tall",0.574334627436474,2.89293915568851
"Mid",0.0599930975586176,7.43155967653729
"Short",0.589983613137156,6.50613313401118
"Mid",0.442221416719258,5.1829658227507
"Mid",0.180190062057227,2.4661982958205
"Mid",0.103753531957045,6.24250232917257
"Mid",0.479801222356036,1.02092833979987
"Tall",0.563774403417483,3.60543763707392
"Short",0.485737302806228,1.01083817379549
"Short",0.178192208474502,5.73813941935077
"Mid",0.569792445888743,1.28485803399235
"Short",0.286362049123272,3.01999190007336
"Tall",0.390069857658818,3.47522631636821
"Mid",0.171098672971129,2.93940834025852
"Short",0.358505101175979,3.42701888503507
"Short",0.240115955332294,5.36856931215152
"Short",0.450612445129082,3.17468077410012
"Mid",0.166840673983097,1.27011179178953
"Tall",0.570733104972169,1.65562565601431
"Tall",0.212457577697933,3.81649115285836
"Mid",0.33270423905924,3.25740984780714
"Tall",0.215446332469583,5.44855403038673
"Short",0.49305345104076,5.64260910847224
"Mid",0.186752506205812,2.85159023222513
"Short",0.552900539617985,1.73231444880366
"Tall",0.354722660640255,1.10656244098209
"Tall",0.267517620697618,1.2070566022303
"Short",0.498823794163763,5.56289184442721
"Short",0.509567606449127,5.43599145486951
"Mid",0.361151844123378,0.802761804312468
"Mid",0.503684016410261,2.13716417155229
"Short",0.0201000298373401,4.17363371839747
"Mid",0.561501574097201,6.01180362934247
"Short",0.0255640732124448,2.1868886759039
"Short",0.261638676607981,1.02212792192586
"Short",0.153135233698413,3.04266428458504
"Tall",0.20097218491137,5.10384715697728
"Short",0.261105639254674,1.00924382824451
"Short",0.245910782413557,6.31757791945711
"Mid",0.0259711860213429,3.64518652390689
"Tall",0.126926149427891,3.8300088790711
"Mid",0.379753213562071,4.7400640824344
"Tall",0.238248053379357,4.44809996336699
"Tall",0.575221476238221,1.87265147804283
"Short",0.39284093985334,1.742686731508
"Mid",0.31615703436546,7.64885062840767
"Mid",0.329245779896155,3.93359436048195
"Short",0.534643118642271,3.81556064425968
"Short",0.206702434737235,3.44206864759326
"Short",0.536355500807986,2.97835564194247
"Mid",0.34631432457827,0.917943072738126
"Short",0.537481186212972,4.46643605781719
"Short",0.112344140745699,2.56424649222754
"Mid",0.259510858962312,0.347762109246105
"Mid",0.14036610564217,1.52747119427659
"Mid",0.478248762013391,3.45325927226804
"Mid",0.432301511848345,3.68323056725785
"Tall",0.459303642204031,1.91565652051941
"Short",0.595456217369065,2.31387544097379
"Mid",0.547358817514032,2.11256436118856
"Short",0.437952219229192,5.84047468286008
"Tall",0.32049964251928,1.10981499799527
"Tall",0.560321524785832,3.72084710886702
"Mid",0.26201130291447,2.98990976298228
"Mid",0.124206398706883,2.94511083187535
"Mid",0.471863384870812,1.74432198284194
"Short",0.330246069235727,1.71457202988677
"Mid",0.521271315263584,1.34060244983993
"Tall",0.0648229801096022,3.99737626803108
"Mid",0.0174177645239979,2.63340483536012
"Mid",0.36689341259189,4.64637173339725
"Tall",0.408717097900808,2.76022340264171
"Tall",0.286172606935725,5.59189030271955
"Short",0.560129039268941,5.93281347071752
"Mid",0.460961677366868,5.71181577187963
"Mid",0.342786183860153,1.0844195659738
"Short",0.036806619213894,1.57137256907299
"Mid",0.024327168893069,3.05548452935182
"Short",0.360566924186423,0.668218644335866
"Mid",0.166178319090977,3.48457886022516
"Short",0.160324875544757,3.9011866922956
"Tall",0.0468139668926597,1.32714508287609
"Mid",0.359392600972205,3.14376333588734
"Short",0.463468535291031,3.43099123705178
"Tall",0.339147979952395,3.65279435412958
"Mid",0.430537363188341,3.33163609867916
"Short",0.126361284172162,2.23550664749928
"Tall",0.16664473246783,3.1535860078875
"Short",0.250348667101935,1.38680635741912
"Tall",0.224025465315208,6.57028413866647
"Mid",0.114144562510774,3.19981531891972
"Mid",0.0086654051207006,2.86275395192206
"Mid",0.487302311835811,2.94631175254472
"Tall",0.238135884376243,1.3151071742177
"Short",0.452982400869951,4.18870948837139
"Mid",0.318425156828016,0.476554302265868
"Mid",0.368861176818609,5.84842795971781
"Tall",0.462769374903291,1.19830388575792
"Short",0.172846312914044,2.45520158763975
"Mid",0.28476050561294,2.44443129864521
"Tall",0.381927346671,1.78146921726875
"Tall",0.227906876150519,1.36251431540586
"Mid",0.198705518105999,1.25802193093114
"Mid",0.0576492978259921,5.10692752152681
"Short",0.355457522347569,1.92534551932476
"Mid",0.0686863930430263,0.612224111333489
"Mid",0.501036639790982,3.1684676813893
"Mid",0.195291133783758,0.595872720470652
"Mid",0.291622567875311,2.63074496062472
"Short",0.068577441573143,1.96300523239188
"Mid",0.408706529717892,2.9312825857196
"Short",0.188208498526365,1.64920067065395
"Tall",0.183298954088241,0.6944109138567
"Short",0.504306160379201,5.96630354179069
"Mid",0.306977074127644,4.88078949251212
"Short",0.580287485383451,0.0848005174193531
"Tall",0.161509337788448,4.72814861149527
"Tall",0.292642617970705,2.69147314480506
"Tall",0.514587588887662,6.69521845201962
"Short",0.0809133923146874,0.0186454709619284
"Short",0.435288355266675,4.86366112297401
"Mid",0.0577037603594363,0.349201446166262
"Mid",0.0830175763461739,2.10523031302728
"Tall",0.123413231922314,3.72524677496403
"Short",0.143852485902607,5.47685213689692
"Mid",0.315537675842643,3.77184928511269
"Mid",0.502680023387074,1.59694140567444
"Mid",0.53263214067556,2.03901832131669
"Mid",0.0522678170353174,1.21798790316097
"Tall",0.240127026289701,1.66787317954004
"Mid",0.386519123800099,3.91592659684829
"Tall",0.0854486115742475,2.50970074953511
"Mid",0.533375792624429,3.56138208927587
"Short",0.244860168686137,3.1977140631061
"Mid",0.480305078113452,2.80405210866593
